gbifID,occurrenceID,scientificName,Prediction 1,Prediction 1 score,Prediction 2,Prediction 2 score,Prediction 3,Prediction 3 score,Prediction 4,Prediction 4 score,Prediction 5,Prediction 5 score
3915738008,https://www.inaturalist.org/observations/136402598,Larus argentatus,Larus argentatus,1.0,Larus hyperboreus,5.129987009440288e-19,Larus glaucoides,3.8597318213071455e-22,Haematopus ostralegus,2.1480887059965443e-25,Larus marinus,1.6484047336259578e-25
3915734526,https://www.inaturalist.org/observations/111704826,Larus argentatus,Larus argentatus,1.0,Larus hyperboreus,6.996532587789554e-22,Larus michahellis,8.555946921513465e-25,Larus cachinnans,3.7478798041251214e-25,Calidris ferruginea,5.113702995689745e-27
3915726376,https://www.inaturalist.org/observations/136610710,Larus marinus,Larus marinus,0.996081366846388,Larus fuscus,0.003918633153612,Larus argentatus,6.433965610185578e-21,Larus fuscus fuscus,2.025415744342393e-23,Larus fuscus intermedius,5.27587861884495e-24
3915679346,https://www.inaturalist.org/observations/136551496,Larus argentatus,Larus argentatus,0.9999999999890186,Larus michahellis,9.864871072687216e-12,Larus cachinnans,1.0198881669642024e-12,Haliaeetus albicilla,5.0505247498802495e-14,Larus fuscus,1.9414545722271078e-14
3915666707,https://www.inaturalist.org/observations/136347046,Larus canus,Larus canus,1.0,Ichthyaetus ichthyaetus,8.150575698177241e-20,Chroicocephalus ridibundus,7.629801144147019e-24,Larus glaucescens,2.823684183797995e-33,Ichthyaetus melanocephalus,5.8727031959734356e-34
3915622654,https://www.inaturalist.org/observations/136411152,Larus canus,Vanellus vanellus,0.5014048371634089,Larus canus,0.4958040878348841,Larus delawarensis,0.0027905795957319,Haematopus ostralegus,2.528199973579777e-07,Larus argentatus,1.78566379769481e-07
3915621759,https://www.inaturalist.org/observations/136259446,Larus canus,Larus canus,0.9999992063795238,Larus delawarensis,6.917596083624208e-07,Rissa tridactyla,7.584822848975315e-08,Fulmarus glacialis,2.5800983845950934e-08,Larus argentatus,1.7566618825702355e-10
3915620875,https://www.inaturalist.org/observations/136347037,Larus argentatus,Larus argentatus,1.0,Larus canus,4.512844710078615e-37,Bonellia viridis,0.0,Dacrymyces fennicus,0.0,Pholiotina vexans,0.0
3915600894,https://www.inaturalist.org/observations/136347048,Larus argentatus,Larus argentatus,0.9999997287171908,Larus fuscus,2.709151285312935e-07,Larus canus,3.6729573729966047e-10,Larus cachinnans,2.834547553359864e-13,Larus michahellis,9.50846358223118e-14
3915599613,https://www.inaturalist.org/observations/136411163,Larus marinus,Vanellus vanellus,0.6355860658401955,Larus marinus,0.3644075954936575,Phalacrocorax carbo,2.78822616259211e-06,Larus argentatus,1.6915866951267574e-06,Chroicocephalus ridibundus,1.4076991612966308e-06
3915574513,https://www.inaturalist.org/observations/136449584,Larus marinus,Larus marinus,1.0,Larus argentatus,2.1167663704153905e-22,Larus fuscus,2.4821792372705016e-24,Motacilla alba,4.181351354037643e-28,Phalacrocorax carbo,6.281380189460758e-29
3915564769,https://www.inaturalist.org/observations/136541547,Larus canus,Larus canus,0.9999999999999968,Chroicocephalus ridibundus,3.115634090105432e-15,Ichthyaetus ichthyaetus,8.116490061505864e-17,Larus glaucescens,2.6499834369148606e-20,Larus glaucoides,2.074614212722736e-21
3915564468,https://www.inaturalist.org/observations/136347309,Larus canus,Rissa tridactyla,0.9665874083499724,Larus argentatus,0.0304067707266475,Larus canus,0.0030044363316514,Larus marinus,6.18815864789069e-07,Cygnus cygnus,3.356239177891628e-07
3915564377,https://www.inaturalist.org/observations/136281375,Larus argentatus,Larus argentatus,1.0,Bonellia viridis,0.0,Ionomidotis fulvotingens,0.0,Cladonia gracilis,0.0,Pholiotina vexans,0.0
3915563473,https://www.inaturalist.org/observations/136411162,Larus argentatus,Vanellus vanellus,0.9999999999999998,Phalacrocorax carbo,1.1217374459603192e-16,Motacilla alba,8.700231484554458e-19,Haematopus ostralegus,3.1621892787794167e-19,Larus marinus,8.221685397319708e-20
3915555687,https://www.inaturalist.org/observations/136347307,Larus canus,Larus canus,0.9997674167464116,Rissa tridactyla,0.0001908614697484,Pagophila eburnea,3.96276255083222e-05,Hydrocoloeus minutus,5.545277010059378e-07,Xema sabini,4.5977571661912034e-07
3915501502,https://www.inaturalist.org/observations/111178143,Larus argentatus,Larus argentatus,0.99999999998234,Larus marinus,1.765917620435331e-11,Larus michahellis,5.52971271803338e-16,Larus cachinnans,2.537875351958187e-16,Larus canus,1.6403767111179174e-16
3915477748,https://www.inaturalist.org/observations/134865848,Larus argentatus,Larus argentatus,1.0,Larus hyperboreus,6.554051772298191e-33,Larus cachinnans,2.138087618845206e-35,Larus canus,2.485309952945064e-36,Parmeliella triptophylla,0.0
3915467161,https://www.inaturalist.org/observations/136003169,Larus argentatus,Larus argentatus,0.999999999999986,Larus cachinnans,1.212264490857802e-14,Larus canus,1.951857195631868e-15,Larus michahellis,1.0698629138488217e-17,Larus marinus,7.024711410917669e-19
3915451500,https://www.inaturalist.org/observations/115576020,Larus fuscus,Larus fuscus,1.0,Bonellia viridis,0.0,Cortinarius pini,0.0,Cladonia gracilis,0.0,Pholiotina vexans,0.0
3915450457,https://www.inaturalist.org/observations/105736690,Larus argentatus,Larus argentatus,0.9999992738740782,Larus michahellis,3.882780892461831e-07,Larus canus,2.543635966629663e-07,Larus cachinnans,7.537688541824898e-08,Larus fuscus,6.694163760706056e-09
3915431687,https://www.inaturalist.org/observations/134865186,Larus argentatus,Larus canus,0.951663893130976,Larus glaucoides,0.02651974654013,Larus argentatus,0.0168292205014712,Columba palumbus,0.0013230833232122,Larus hyperboreus,0.0007589485836073
3915423723,https://www.inaturalist.org/observations/134159990,Larus canus,Larus canus,1.0,Rissa tridactyla,6.972500149811526e-24,Larus delawarensis,2.062269514193682e-25,Larus argentatus,1.8043631277745747e-27,Poecile montanus,1.2398668665015657e-30
