"","month","species","Danaus gilippus","Danaus plexippus","Lemenitis archippus","other","other danaus","other lemenitis"
"1","January","Danaus gilippus",0.854067165821659,0.00918754601085968,0.00632039187242729,0.122693319227999,0.00773157706705488,0
"2","January","Danaus plexippus",0.00124464895528747,0.979609527446102,0.00126452771948236,0.00897949857849536,0.00890179730063331,0
"3","January","Lemenitis archippus",0.143630625531556,0.125580234432626,0.440804125217436,0.147150204962697,0.142834809855685,0
"4","February","Danaus gilippus",0.405788023497181,0.00443276514198922,0.585226860134005,0.00455235122682505,0,0
"5","February","Danaus plexippus",0.00166069729070675,0.984546519397421,0.00173119439625913,0.0120615889156129,0,0
"6","February","Lemenitis archippus",0,0,0,0,0,0
"7","March","Danaus gilippus",0.403655788365311,0.00229679169188199,0.00202247157799834,0.592024948364809,0,0
"8","March","Danaus plexippus",0.000390751739208117,0.982343393316252,0.000412003250591531,0.0168538516939487,0,0
"9","March","Lemenitis archippus",0.116685574957449,0.117176030973093,0.372392421345575,0.393745972723883,0,0
"10","April","Danaus gilippus",0.536437171900328,0.00181596360919612,0.00190823590370334,0.457913753613917,0.00192487497285574,0
"11","April","Danaus plexippus",0.000211343674681842,0.981036056680084,0.00305199629938331,0.0139551632185038,0.0017454401273471,0
"12","April","Lemenitis archippus",0.00237074867650044,0.0137711980774813,0.979804868174372,0.0020654129468992,0.00198777212474734,0
"13","May","Danaus gilippus",0.533142175735606,0.00133662443627132,0.000895982370941827,0.462420123668544,0.00103920517227548,0.00116588861636148
"14","May","Danaus plexippus",0.00141282427071304,0.978442030784024,0.000168328175560542,0.0148664949167678,0.00366747755988023,0.00144284429305432
"15","May","Lemenitis archippus",0.00189156851350444,0.0128019802950088,0.979284560198561,0.00225178616383573,0.00192628520588088,0.00184381962320908
"16","June","Danaus gilippus",0.704470464664621,0.000603899264952685,0.000619495358676893,0.293753531665417,0.000552609046331895,0
"17","June","Danaus plexippus",0.00232637456112962,0.986872999184281,0.000684276133274541,0.00835467944785192,0.00176167067346278,0
"18","June","Lemenitis archippus",0.000575326464407198,0.00735936448045396,0.98731862000378,0.00417528862009234,0.000571400431266476,0
"19","July","Danaus gilippus",0.632388046242795,0.000404319824259021,0.000385662498996706,0.366029017771337,0.000430664725748233,0.000362288936864301
"20","July","Danaus plexippus",0.000389758283282897,0.988187541673398,0.000913215317933459,0.00991789771807792,0.000569724906037045,2.1862101270949e-05
"21","July","Lemenitis archippus",0.000297040172980144,0.00990489437002056,0.983694211477581,0.000351187661169282,0.000336557751274683,0.00541610856697474
"22","August","Danaus gilippus",0.726729178139642,0.000578870282644936,0.000573844133680578,0.270763580789058,0.000671262652623654,0.000683264002350834
"23","August","Danaus plexippus",0.0011611772991845,0.989527866957134,0.000818862010820407,0.006495416775901,0.0018578712055494,0.00013880575141064
"24","August","Lemenitis archippus",0.0014713882731693,0.00500005018629811,0.993035078058926,0.000154819790161961,0.000187408473024964,0.000151255218419628
"25","September","Danaus gilippus",0.730788853642387,0.00108427053427355,0.000963319792031749,0.266334874257552,0.000828681773755295,0
"26","September","Danaus plexippus",0.000714261267404576,0.984537616072935,0.00149827513136125,0.0106066846457279,0.00264316288257081,0
"27","September","Lemenitis archippus",0.000278505246899554,0.00439687029156373,0.994733417685016,0.000240890830317727,0.000350315946203325,0
"28","October","Danaus gilippus",0.915869027955957,0.000670887310917001,0.00063386626034854,0.0822170231007108,0.000609195372066342,0
"29","October","Danaus plexippus",0.000963361509325629,0.983196785078303,0.000966020744154759,0.00508798251368948,0.00978585015452719,0
"30","October","Lemenitis archippus",0.00212384030531854,0.0454546662522838,0.94836552691356,0.00200968829336112,0.00204627823547699,0
"31","November","Danaus gilippus",0.93952871906608,0.00222533770084342,0.00206047531047073,0.0540451829244819,0.00214028499812361,0
"32","November","Danaus plexippus",0.00460168129817852,0.969868424659438,0.000354830945960619,0.0147079214022399,0.0104671416941833,0
"33","November","Lemenitis archippus",0.0194260014523354,0.0200168137800666,0.918333846648587,0.0201451883230245,0.0220781497959867,0
"34","December","Danaus gilippus",0.964414097378805,0.00807619704040136,0.00902840785933296,0.00888683853942967,0.00959445918203077,0
"35","December","Danaus plexippus",0.0121444557568941,0.967765910723595,0.000990770521687832,0.00683307389535117,0.0122657891024724,0
"36","December","Lemenitis archippus",0.12497147345209,0.0985974701734085,0.344133719018966,0.345884817522668,0.0864125198328678,0
