"species","reported_states","variable","constant","covariate","fixed-covariate","fixed-intercov","intercept","main"
"L. argentatus","L. argentatus","gamma03",-0.00325859996309001,-0.597869716049056,-1.57576162135871,-0.118427880182188,-1.02250408071633,0.00979740794864196
"L. canus","L. argentatus","gamma03",0.00770679849743748,-0.866193169871825,-1.72701414918225,-0.655953657682289,-1.37725068251257,0.0271724628515103
"L. marinus","L. argentatus","gamma03",-0.00959670732049613,2.84045409240391,3.98043119356153,4.73102113796292,4.68789862213469,0.0244232521504284
"Larus fuscus","L. argentatus","gamma03",0.0247883735596098,-0.357762976601869,-0.770823012567552,-1.38467330447778,-0.239631331997806,-0.0214266694904783
"L. argentatus","L. argentatus","gamma13",0.00467495071918105,-0.652905578558971,0.0384742988163067,-0.580907423128336,-0.0188274451431397,0.0014865256150878
"L. canus","L. argentatus","gamma13",-0.00903907768059843,-0.975035740618375,-0.00554220837825602,-0.873800892531834,-0.000171267400389773,0.0173506062937533
"L. marinus","L. argentatus","gamma13",-0.000716755684049486,1.25380211252574,0.973839667947746,0.726485889341023,-0.020638803164867,0.0443593887202466
"Larus fuscus","L. argentatus","gamma13",0.020281038420797,0.530889716864686,0.0186867665365014,0.594411576463549,-0.00784838753753918,-0.0347525382883482
"L. argentatus","L. canus","gamma01",-0.0120830815884155,-0.811839865661113,-1.92071762395645,-0.63208713792228,-1.39047775216033,-0.0323281788342697
"L. canus","L. canus","gamma01",0.0304288876268962,3.3837183468754,4.53171747908392,4.73102113796292,5.11362357396768,0.00417020835079529
"L. marinus","L. canus","gamma01",-0.00626204771001857,-0.475234729927736,-1.38673009578222,-0.203617800276858,-1.00292453714245,-0.0118551220214592
"Larus fuscus","L. canus","gamma01",0.0243531572103415,-0.48945130194231,-1.44417052062845,-0.881900978926401,-1.07490944767343,-0.00345732900226918
"L. argentatus","L. canus","gamma11",0.0345358212483629,-0.941957869741227,-0.0233183163454025,-0.796796556066456,0.00338012466133009,-0.00558954802870005
"L. canus","L. canus","gamma11",-0.00591519801470762,1.03117467975457,0.38752836151841,0.427843870790632,-0.00856720848691192,-0.000245798320579701
"L. marinus","L. canus","gamma11",-0.0148631296504045,-0.626960274804262,-0.010299833380251,-0.491691329292263,-0.00153601483193854,-0.04120265262668
"Larus fuscus","L. canus","gamma11",0.0271964016203675,-0.650173893451577,0.0101393953958387,-0.403461296900514,-0.000877191979150205,-0.00267814817286764
"L. argentatus","L. marinus","gamma02",-0.00325859996309001,-0.597869716049056,-1.57576162135871,-0.118427880182188,-1.02250408071633,0.00979740794864196
"L. canus","L. marinus","gamma02",0.00770679849743748,-0.866193169871825,-1.72701414918225,-0.655953657682289,-1.37725068251257,0.0271724628515103
"L. marinus","L. marinus","gamma02",-0.00959670732049613,2.84045409240391,3.98043119356153,4.73102113796292,4.68789862213469,0.0244232521504284
"Larus fuscus","L. marinus","gamma02",0.0247883735596098,-0.357762976601869,-0.770823012567552,-1.38467330447778,-0.239631331997806,-0.0214266694904783
"L. argentatus","L. marinus","gamma12",0.00467495071918105,-0.652905578558971,0.0384742988163067,-0.580907423128336,-0.0188274451431397,0.0014865256150878
"L. canus","L. marinus","gamma12",-0.00903907768059843,-0.975035740618375,-0.00554220837825602,-0.873800892531834,-0.000171267400389773,0.0173506062937533
"L. marinus","L. marinus","gamma12",-0.000716755684049486,1.25380211252574,0.973839667947746,0.726485889341023,-0.020638803164867,0.0443593887202466
"Larus fuscus","L. marinus","gamma12",0.020281038420797,0.530889716864686,0.0186867665365014,0.594411576463549,-0.00784838753753918,-0.0347525382883482
"L. argentatus","Larus fuscus","gamma04",-0.0198441038805202,-0.909793988007506,-1.93986805311823,0.413816011303625,-1.45607020995826,0.0352534234544833
"L. canus","Larus fuscus","gamma04",-0.00886450008226174,-0.828636611935706,-1.74225460333266,-1.09175290816967,-1.37171068202552,0.0105244681075487
"L. marinus","Larus fuscus","gamma04",-0.0340666643959537,-1.07596636052901,-0.9880195139847,-0.43713256029012,-0.545545664657787,0.0141715474168527
"Larus fuscus","Larus fuscus","gamma04",0.0590633716296275,3.27431956483495,3.96329865579878,4.73102113796292,4.66268934185273,-0.0206623219017682
"L. argentatus","Larus fuscus","gamma14",-0.0324637997401741,-0.922630172283818,-0.0028604506929371,-1.12577517066184,0.0137955945545455,0.0379398813831817
"L. canus","Larus fuscus","gamma14",-0.017423042870258,-0.972964719573048,-0.033918828904356,-0.670067227684168,-0.0121655362028265,0.00101069705320287
"L. marinus","Larus fuscus","gamma14",0.0186393205146254,0.905296562131285,-0.0247530106624357,0.611493103460659,-0.0282504593564054,-0.00715034270166579
"Larus fuscus","Larus fuscus","gamma14",0.0202725927644102,1.00670904170822,1.07100453984515,0.634111669441855,0.024071793389785,0.018686892388999
