"","simMethod","estMethod","trueMisclassIncrease","p","waic","biasBeta01","biasBeta11","biasBeta12","biasGamma011","biasGamma021","biasGamma012","biasGamma022","biasGamma111","biasGamma121","biasGamma112","biasGamma122"
"1","correlation","constant","Baseline","0.4999(0.0023)","2207.8089(42.3979)","-0.0382(0.1388)","0.1008(0.3413)","-0.0559(0.2125)","-1.9989(0.0081)","-1.0007(0.0078)","-0.4988(0.0088)","-1.0001(0.0081)","-2.9983(0.0083)","1.0015(0.0082)","1.0008(0.0084)","-0.9988(0.0086)"
"2","correlation","constant","Decreased","0.4997(0.0023)","658.8102(46.3374)","-0.0301(0.1272)","0.0899(0.3061)","-0.0484(0.1889)","-8.0014(0.0083)","-1.0006(0.0078)","-0.5001(0.0074)","-6.9985(0.0086)","-2.9991(0.0086)","1.0009(0.008)","0.9991(0.0079)","-0.9985(0.008)"
"3","correlation","fixed-covariate","Baseline","0.6606(0.0193)","2188.4522(42.0599)","-0.0395(0.1388)","0.107(0.3424)","-0.0662(0.2122)","0.1636(0.1633)","0.3844(0.1191)","0.5122(0.1986)","0.1375(0.1181)","-2.0409(0.1864)","NA(NA)","NA(NA)","-1.1123(0.1019)"
"4","correlation","fixed-covariate","Decreased","0.4313(0.0505)","669.2619(45.0517)","-0.0277(0.1264)","0.0856(0.3038)","-0.046(0.1873)","-3.5599(0.1409)","-0.3858(0.2633)","-0.614(0.3736)","-2.3738(0.1198)","-2.8256(0.1866)","NA(NA)","NA(NA)","-1.0171(0.0641)"
"5","correlation","fixed-intercov","Baseline","0.6638(0.0112)","2207.705(42.665)","-0.0366(0.1382)","0.0951(0.3403)","-0.0599(0.212)","-0.4152(0.0972)","0.7436(0.1141)","-1e-04(0.1448)","0.5848(0.0972)","-2.1866(0.1348)","NA(NA)","NA(NA)","-1.0628(0.1331)"
"6","correlation","fixed-intercov","Decreased","0.484(0.0634)","654.5527(46.2449)","-0.0261(0.1264)","0.0752(0.3024)","-0.0405(0.1864)","-2.3126(0.2386)","0.5529(0.3247)","0.3021(0.4817)","-1.3126(0.2386)","-2.6638(0.3819)","NA(NA)","NA(NA)","-0.9539(0.175)"
"7","correlation","intercept","Baseline","0.4998(0.0023)","2207.8936(42.3459)","-0.037(0.1389)","0.1006(0.3403)","-0.0549(0.2119)","0.1411(0.1592)","0.3888(0.1162)","0.4906(0.1961)","0.142(0.1142)","-2.9992(0.0082)","1.0002(0.0073)","1.0002(0.008)","-0.9991(0.0074)"
"8","correlation","intercept","Decreased","0.4998(0.0023)","669.6466(45.1081)","-0.0281(0.127)","0.0865(0.305)","-0.0464(0.1882)","-3.5711(0.1496)","-0.4001(0.2647)","-0.6242(0.3787)","-2.3893(0.1228)","-2.9998(0.0078)","0.9998(0.0077)","1(0.0081)","-1.0006(0.0073)"
"9","correlation","main","Baseline","0.5002(0.0025)","2208.9215(42.329)","-0.0429(0.1416)","0.1255(0.3455)","-0.0778(0.2745)","-2.002(0.0077)","-1.0001(0.0075)","-0.5023(0.008)","-1.0004(0.0074)","-3.0006(0.0085)","0.9991(0.0081)","1.001(0.0083)","-0.9997(0.0083)"
"10","correlation","main","Decreased","0.4996(0.0023)","659.998(46.3474)","-0.0339(0.128)","0.1097(0.3055)","-0.0686(0.2437)","-8.0021(0.0079)","-0.9992(0.0093)","-0.4995(0.0079)","-7.0015(0.0087)","-3.0002(0.0076)","0.9991(0.0083)","1.0012(0.0074)","-0.9989(0.008)"
"11","correlation","variable","Baseline","0.6666(0.0045)","1719.0637(46.6326)","-0.0205(0.13)","0.0881(0.3244)","-0.0455(0.196)","-0.1395(0.1901)","-0.0254(0.1441)","-0.1118(0.2555)","-0.0236(0.1305)","-0.3725(0.328)","-0.0317(0.1827)","-0.2041(0.3174)","0.0063(0.1859)"
"12","correlation","variable","Decreased","0.6663(0.0051)","593.9168(36.3673)","-0.0221(0.1263)","0.0906(0.2982)","-0.049(0.1859)","-3.4046(0.122)","-1.5889(0.3124)","-1.1944(0.2275)","-2.0769(0.133)","-2.1691(0.2124)","-0.4226(0.2554)","-0.208(0.4353)","-0.7554(0.1592)"
"13","full","constant","Baseline","0.5001(0.0025)","2301.6398(39.4312)","-0.0025(0.1347)","0.0905(0.3131)","-0.047(0.1906)","-1.9998(0.0082)","-1.0006(0.0084)","-0.4984(0.0083)","-0.9991(0.0088)","-2.9985(0.0079)","1.0012(0.0081)","1.0016(0.008)","-0.9984(0.0077)"
"14","full","constant","Decreased","0.4999(0.0024)","749.9868(45.9564)","0.0081(0.1217)","0.0702(0.3057)","-0.0355(0.1767)","-8.0006(0.0078)","-1.002(0.0072)","-0.4993(0.0083)","-6.999(0.0079)","-2.9992(0.0081)","1.0009(0.0084)","1.0005(0.0089)","-0.9982(0.0084)"
"15","full","fixed-covariate","Baseline","0.6172(0.0665)","2291.2563(39.7034)","-0.0033(0.1348)","0.0929(0.3134)","-0.0487(0.1894)","0.0102(0.1695)","0.2892(0.1346)","0.8067(0.1814)","0.3157(0.134)","-2.468(0.1851)","NA(NA)","NA(NA)","-0.9617(0.0959)"
"16","full","fixed-covariate","Decreased","0.4285(0.0623)","758.5206(44.8425)","0.0081(0.1215)","0.0636(0.3043)","-0.0323(0.1767)","-3.8273(0.1177)","-0.8604(0.3543)","0.4697(0.2179)","-2.2977(0.14)","-2.8562(0.1734)","NA(NA)","NA(NA)","-0.9559(0.0753)"
"17","full","fixed-intercov","Baseline","0.5872(0.0807)","2301.0617(40.7263)","-4e-04(0.1344)","0.088(0.312)","-0.047(0.189)","-0.3755(0.1028)","0.5403(0.123)","0.4686(0.1212)","0.6245(0.1028)","-2.613(0.1697)","NA(NA)","NA(NA)","-0.9622(0.1104)"
"18","full","fixed-intercov","Decreased","0.5125(0.0857)","745.4582(45.4827)","0.0087(0.121)","0.0544(0.3045)","-0.0278(0.1763)","-2.5454(0.1905)","-0.2522(0.4011)","1.6485(0.2733)","-1.5454(0.1905)","-2.5179(0.4431)","NA(NA)","NA(NA)","-0.8919(0.1719)"
"19","full","intercept","Baseline","0.4997(0.0023)","2301.713(39.4058)","-0.0019(0.1349)","0.0897(0.3137)","-0.0464(0.1899)","-0.1118(0.1623)","0.2801(0.1342)","0.6856(0.1805)","0.3064(0.1335)","-3.0002(0.0074)","0.9998(0.0086)","1.0006(0.008)","-1.0005(0.0074)"
